siren,nom_entreprise,adresse,ville,code_postal,code_epci
304476997,FEDER OEUVRES LAIQUES,JEAN-MARIE VERNE,BOURG-EN-BRESSE,1000,200071751
500738471,BOULANGERIE MERMILLON (LE P'TIT CHEZERY),DE CONFORT,CHEZERY-FORENS,1410,240100750
809913007,R-OPTIQUE,DE BELLEYDOUX,GIRON,1130,240100891
399128602,GILLES CHATRON,DU CROZAT,ECHALLON,1130,200042935
213905797,COMMUNE DE VIRY,ROUGET DE LISLE,VIRY,39360,200026573
761200427,FORESTIERE & DEVELOPPEMENT,,MAILLAT,1430,200042935
345322556,ASS SPORT CULTURE ET ENTRAIDE EQUIPEMENT,BOURGMAYER,BOURG-EN-BRESSE,1000,200071751
894590942,CAL II,DE RICHELIEU,PARIS,75002,200054781
922234208,IRISOLAR 29,OLIVIER PERROY,ROUSSET,13790,200054807
949501142,SLR1,JOSEPH GILLET,LYON,69004,200046977
450809835,CN'AIR,ANDRE BONIN,LYON,69004,200046977
775649742,PRADO EDUCATION,DU PRADO,FONTAINES-SAINT-MARTIN,69270,200046977
885013383,IRISOLAR 21,OLIVIER PERROY,ROUSSET,13790,200054807
881388086,IRISOLAR 19,OLIVIER PERROY,ROUSSET,13790,200054807
890872674,IRISOLAR 22,OLIVIER PERROY,ROUSSET,13790,200054807
844934422,SAS ARKOLIA INVEST ELYOR L5,DES VERGERS,MUDAISON,34130,243400470
897588612,DAVAI ENRSPV7,MARCEL DASSAULT,BOULOGNE-BILLANCOURT,92100,200054781
552005969,CEMEX GRANULATS,DU CAPRICORNE,RUNGIS,94150,200054781
893081489,DAVAI ENRSPV5 (DAVAI ENRSPV5),MARCEL DASSAULT,BOULOGNE-BILLANCOURT,92100,200054781
712980432,CEMEX GRANULATS RHONE MEDITERRANEE,DU CAPRICORNE,RUNGIS,94150,200054781
922618335,IRISOLAR 31,OLIVIER PERROY,ROUSSET,13790,200054807
911666790,IRISOLAR 27,OLIVIER PERROY,ROUSSET,13790,200054807
320229644,INDIGO PARK,DU GENERAL DE GAULLE,PUTEAUX,92800,200054781
444619258,RTE RESEAU DE TRANSPORT D ELECTRICITE,DU DOME,PUTEAUX,92800,200054781
537433187,NEXSTONE,DU COLONEL PIERRE AVIA,PARIS,75015,200054781
775544562,ORSAC (ORSAC),DE LA FONTAINE D'ORCET,PLATEAU D'HAUTEVILLE,1110,200042935
459201687,LABENNE ROUGIER SA,ZI CHANTELOISEAU,VILLENAVE D ORNON,33140,243300316
210104436,COMMUNE DE VILLARS-LES-DOMBES,DE L'HOTEL DE VILLE,VILLARS-LES-DOMBES,1330,200069193
391855780,M.C.F.,DES EPOUX CONTOUX,YZEURE,3400,200071140
343278982,ASSOCIATION TREMPLIN,D'ETERNAZ,BOURG-EN-BRESSE,1000,200071751
210103719,COMMUNE DE SAINT-MARCEL,DE LYON,SAINT-MARCEL,1390,200069193
525252193,GREGORY GARCIA,BAS MONTAGNEUX,SAINT-TRIVIER-SUR-MOIGNANS,1990,200069193
